,Accurracy,Sensitivity,Specificty,F1_crosstrain,F1_test,,Training,Crosstraining,Test,k_max,s_max,Accurracy,Sensitivity,Specificty,F1_crosstrain,F1_test
split.i1.j0.dna.k3s6,0.9290429043,0.5,0.979704797,0.5981308411,0.6607142857,,,,,,,,,,,
split.i1.j0.dna.k4s6,0.9207920792,0.328125,0.9907749077,0.4666666667,0.4666666667,,,,,,,,,,,
split.i1.j0.dna.k5s6,0.904290429,0.109375,0.9981549816,0.1944444444,0.1643835616,,,,,,,,,,,
split.i1.j0.dna.k2s7,0.897689769,0.125,0.9889298893,0.2051282051,0.3440860215,,,,,,,,,,,
split.i1.j0.dna.k3s7,0.9191419142,0.4375,0.9760147601,0.5333333333,0.5882352941,,,,,,,,,,,
split.i1.j0.dna.k4s7,0.9306930693,0.5,0.9815498155,0.6037735849,0.6346153846,,,,,,,,,,,
split.i1.j0.dna.k5s7,0.9059405941,0.15625,0.9944649446,0.2597402597,0.2597402597,,,,,,,,,,,
split.i1.j0.dna.k6s7,0.902640264,0.09375,0.9981549816,0.1690140845,0.1408450704,,,,,,,,,,,
split.i1.j0.dna.k2s8,0.8877887789,0.015625,0.9907749077,0.0285714286,0.1951219512,,,,,,,,,,,
split.i1.j0.dna.k3s8,0.9158415842,0.25,0.9944649446,0.3855421687,0.4631578947,,,,,,,,,,,
split.i1.j0.dna.k4s8,0.9290429043,0.5,0.979704797,0.5981308411,0.6788990826,,,,,,,,,,,
split.i1.j0.dna.k5s8,0.9240924092,0.34375,0.9926199262,0.4888888889,0.5217391304,,,,,,,,,,,
split.i1.j0.dna.k6s8,0.904290429,0.109375,0.9981549816,0.1944444444,0.1666666667,,,,,,,,,,,
,,,,,,,,,,,,,,,,
split.i1.j2.dna.k2s3,0.897689769,0.0625,0.9963099631,0.1142857143,0.3516483516,,,,,,,,,,,
split.i1.j2.dna.k2s4,0.9092409241,0.390625,0.9704797048,0.4761904762,0.3720930233,,,,,,,,,,,
split.i1.j2.dna.k3s4,0.9075907591,0.171875,0.9944649446,0.2820512821,0.4666666667,,,,,,,,,,,
split.i1.j2.dna.k2s5,0.9191419142,0.3125,0.9907749077,0.4494382022,0.3170731707,,,,,,,,,,,
split.i1.j2.dna.k3s5,0.9306930693,0.484375,0.9833948339,0.5961538462,0.58,,,,,,,,,,,
split.i1.j2.dna.k4s5,0.9059405941,0.171875,0.9926199262,0.2784810127,0.2820512821,,,,,,,,,,,
split.i1.j2.dna.k2s6,0.9125412541,0.375,0.9760147601,0.4752475248,0.4269662921,,,,,,,,,,,
split.i1.j2.dna.k3s6,0.9372937294,0.578125,0.979704797,0.6607142857,0.5981308411,,,,,,,,,,,
split.i1.j2.dna.k4s6,0.9207920792,0.328125,0.9907749077,0.4666666667,0.4666666667,,,,,,,,,,,
split.i1.j2.dna.k5s6,0.899339934,0.09375,0.9944649446,0.1643835616,0.1944444444,,,,,,,,,,,
split.i1.j2.dna.k2s7,0.899339934,0.25,0.9760147601,0.3440860215,0.2051282051,,,,,,,,,,,
split.i1.j2.dna.k3s7,0.9306930693,0.46875,0.9852398524,0.5882352941,0.5333333333,,,,,,,,,,,
split.i1.j2.dna.k4s7,0.9372937294,0.515625,0.9870848708,0.6346153846,0.6037735849,,,,,,,,,,,
split.i1.j2.dna.k5s7,0.9059405941,0.15625,0.9944649446,0.2597402597,0.2597402597,,,,,,,,,,,
split.i1.j2.dna.k6s7,0.899339934,0.078125,0.9963099631,0.1408450704,0.1690140845,,,,,,,,,,,
split.i1.j2.dna.k2s8,0.8910891089,0.125,0.9815498155,0.1951219512,0.0285714286,,,,,,,,,,,
split.i1.j2.dna.k3s8,0.9158415842,0.34375,0.9833948339,0.4631578947,0.3855421687,,,,,,,,,,,
split.i1.j2.dna.k4s8,0.9422442244,0.578125,0.9852398524,0.6788990826,0.5981308411,,,,,,,,,,,
split.i1.j2.dna.k5s8,0.9273927393,0.375,0.9926199262,0.5217391304,0.4888888889,,,,,,,,,,,
split.i1.j2.dna.k6s8,0.900990099,0.09375,0.9963099631,0.1666666667,0.1944444444,,,,,,,,,,,
,,,,,,,,,,,,,,,,
split.i2.j0.dna.k2s3,0.9092409241,0.265625,0.9852398524,0.3820224719,0.2891566265,,,,,,,,,,,
split.i2.j0.dna.k2s4,0.9125412541,0.265625,0.9889298893,0.3908045977,0.4536082474,,,,,,,,,,,
split.i2.j0.dna.k3s4,0.9075907591,0.234375,0.9870848708,0.3488372093,0.4186046512,,,,,,,,,,,
split.i2.j0.dna.k2s5,0.9075907591,0.203125,0.9907749077,0.3170731707,0.3333333333,,,,,,,,,,,
split.i2.j0.dna.k3s5,0.9141914191,0.296875,0.9870848708,0.4222222222,0.54,,,,,,,,,,,
split.i2.j0.dna.k4s5,0.8910891089,0.109375,0.9833948339,0.175,0.2857142857,,,,,,,,,,,
split.i2.j0.dna.k2s6,0.9075907591,0.328125,0.9760147601,0.4285714286,0.5094339623,,,,,,,,,,,
split.i2.j0.dna.k3s6,0.9141914191,0.34375,0.9815498155,0.4583333333,0.623853211,,,,,,,,,,,
split.i2.j0.dna.k4s6,0.9108910891,0.265625,0.9870848708,0.3863636364,0.4175824176,,,,,,,,,,,
split.i2.j0.dna.k5s6,0.897689769,0.09375,0.9926199262,0.1621621622,0.275,,,,,,,,,,,
split.i2.j0.dna.k2s7,0.9059405941,0.15625,0.9944649446,0.2597402597,0.4468085106,,,,,,,,,,,
split.i2.j0.dna.k3s7,0.9174917492,0.375,0.9815498155,0.4897959184,0.6101694915,,,,,,,,,,,
split.i2.j0.dna.k4s7,0.9323432343,0.453125,0.9889298893,0.5858585859,0.6545454545,,,,,,,,,,,
split.i2.j0.dna.k5s7,0.897689769,0.109375,0.9907749077,0.1842105263,0.404494382,,,,,,,,,,,
split.i2.j0.dna.k6s7,0.8943894389,0.0625,0.9926199262,0.1111111111,0.325,,,,,,,,,,,
split.i2.j0.dna.k2s8,0.8894389439,0,0.9944649446,0,0.1111111111,,,,,,,,,,,
split.i2.j0.dna.k3s8,0.9174917492,0.3125,0.9889298893,0.4444444444,0.4,,,,,,,,,,,
split.i2.j0.dna.k4s8,0.9191419142,0.421875,0.9778597786,0.5242718447,0.7027027027,,,,,,,,,,,
split.i2.j0.dna.k5s8,0.9092409241,0.3125,0.979704797,0.4210526316,0.5252525253,,,,,,,,,,,
split.i2.j0.dna.k6s8,0.896039604,0.09375,0.9907749077,0.16,0.3764705882,,,,,,,,,,,
,,,,,,,,,,,,,,,,
split.i2.j1.dna.k2s3,0.902640264,0.1875,0.9870848708,0.2891566265,0.3820224719,,,,,,,,,,,
split.i2.j1.dna.k2s4,0.9125412541,0.34375,0.979704797,0.4536082474,0.3908045977,,,,,,,,,,,
split.i2.j1.dna.k3s4,0.9174917492,0.28125,0.9926199262,0.4186046512,0.3488372093,,,,,,,,,,,
split.i2.j1.dna.k2s5,0.9075907591,0.21875,0.9889298893,0.3333333333,0.3170731707,,,,,,,,,,,
split.i2.j1.dna.k3s5,0.9240924092,0.421875,0.9833948339,0.54,0.4222222222,,,,,,,,,,,
split.i2.j1.dna.k4s5,0.900990099,0.1875,0.9852398524,0.2857142857,0.175,,,,,,,,,,,
split.i2.j1.dna.k2s6,0.9141914191,0.421875,0.9723247232,0.5094339623,0.4285714286,,,,,,,,,,,
split.i2.j1.dna.k3s6,0.9323432343,0.53125,0.979704797,0.623853211,0.4583333333,,,,,,,,,,,
split.i2.j1.dna.k4s6,0.9125412541,0.296875,0.9852398524,0.4175824176,0.3863636364,,,,,,,,,,,
split.i2.j1.dna.k5s6,0.904290429,0.171875,0.9907749077,0.275,0.1621621622,,,,,,,,,,,
split.i2.j1.dna.k2s7,0.9141914191,0.328125,0.9833948339,0.4468085106,0.2597402597,,,,,,,,,,,
split.i2.j1.dna.k3s7,0.9240924092,0.5625,0.9667896679,0.6101694915,0.4897959184,,,,,,,,,,,
split.i2.j1.dna.k4s7,0.9372937294,0.5625,0.9815498155,0.6545454545,0.5858585859,,,,,,,,,,,
split.i2.j1.dna.k5s7,0.9125412541,0.28125,0.9870848708,0.404494382,0.1842105263,,,,,,,,,,,
split.i2.j1.dna.k6s7,0.9108910891,0.203125,0.9944649446,0.325,0.1111111111,,,,,,,,,,,
split.i2.j1.dna.k2s8,0.8943894389,0.0625,0.9926199262,0.1111111111,0,,,,,,,,,,,
split.i2.j1.dna.k3s8,0.9059405941,0.296875,0.9778597786,0.4,0.4444444444,,,,,,,,,,,
split.i2.j1.dna.k4s8,0.9455445545,0.609375,0.9852398524,0.7027027027,0.5242718447,,,,,,,,,,,
split.i2.j1.dna.k5s8,0.9224422442,0.40625,0.9833948339,0.5252525253,0.4210526316,,,,,,,,,,,
split.i2.j1.dna.k6s8,0.9125412541,0.25,0.9907749077,0.3764705882,0.16,,,,,,,,,,,
